takeoff_name,takeoff_lat,takeoff_lon,elevation,telegram_group_name,telegram_group_link,exclude,notes,site_guide
Fan Brycheiniog,51.87991,-3.70435,711.26,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Fan Frynych,51.89755,-3.510595,576.33,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Fan Gyhirych,51.85895,-3.62795,698.09,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Farleton,54.21823,-2.70955,217.3,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=FKT
Fast Heugh,55.54987,-2.95538,374.8,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,http://www.wingbeat-paragliding.co.uk/index.php/sites/fastheugh
Feshiebridge,57.09047,-3.84713,876.81,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Ffarmers,52.1126,-3.97267,359.04,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Fforest Fields,52.16525,-3.33028,379.94,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,https://paraglidingwales.co.uk/fforest-farm/
Firle,50.83497,0.081015,145.46,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://shgc.org.uk/siteguidepdf
Fochriw,51.73535,-3.306415,450.07,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Foel Fadian,52.543825,-3.730015,540.75,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,https://paraglidingwales.co.uk/general-information/foel/
Foreman Hill,57.500895,-2.716795,335.22,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Freathy,50.344935,-4.24835,61.83,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Fremington,54.39755,-1.92925,405.59,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/fremington-edge
Friar Waddon,50.66747,-2.50895,114.84,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Frocester,51.70922,-2.29993,220.61,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Fuar Mhonadh,56.85597,-4.21438,862.19,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Gallt Yr Ogof,53.10545,-3.95147,456.46,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Gam Rhiw,52.24465,-3.52982,536.06,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,TRUE,Closed by National Trust,
Gargunnock Hills,56.09398,-4.16061,291.84,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Garret,53.130375,-4.09969,500.6,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Garway,51.920355,-2.822335,351.44,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Glen Clova,56.823025,-3.02755,288.8,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Glen Ogle,56.42518,-4.32393,566.45,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Glencoe,56.62842,-4.84147,723.21,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Glenfinna,56.88111,-5.450175,325.5,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Glyder,53.092355,-3.997325,499.54,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,https://www.snowdoniaskysports.co.uk/cms/node/11
Golden Ball,51.37275,-1.82039,250.44,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/golden-ball
Gorllwyn,52.95441,-4.13307,290.54,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Gragareth,54.20421,-2.47841,596.27,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,
Graig Fawr,51.75305,-3.99029,236.61,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Great Coum,54.24703,-2.45715,660.44,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Great Whernside,54.17188,-2.00633,630.19,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/great-whernside
Green How,54.44812,-3.246415,497.81,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Greenhill,55.58776,-3.700225,446.74,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Grey Mares Tail,55.41957,-3.32182,668.83,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Grey Scars,54.141255,-2.41602,392.46,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Gyrn Moelfre,52.85125,-3.20795,411.08,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Haig,54.549675,-3.599365,-1.41,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=HGP
Hambledon,50.914615,-2.22205,176.06,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Haresfield,51.7793,-2.25599,206.14,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Harting,50.95948,-0.87007,206.69,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,http://skysurfingclub.co.uk/sites-guide/
Haughmond Hill,52.719635,-2.687735,129.98,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Hawkswick,54.12898,-2.05297,373.19,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Hay Bluff,52.02262,-3.103875,652.58,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,https://www.flysouthwales.co.uk/site-guides
Heol Senni,51.8892,-3.58188,528.27,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Herne Bay,51.375045,1.175235,31.88,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://www.dfhgc.org/sites/herne-bay
Heron Pike,54.46479,-2.99615,592.56,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
High And Over,50.79118,0.14232,77.02,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://www.shgc.org.uk/highandover
High Cap,54.70132,-2.526485,516.52,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
High Street,54.493725,-2.862045,800.07,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
High Wheeldon,53.190085,-1.850865,361.98,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,
Rhossili,51.5746054,-4.2844218,108.04,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Hill Farm,52.69155,0.81357,70.54,East,https://t.me/joinchat/1oNELt0BqesxNjJk,,,
Hill Of Noth,57.35942,-2.816895,387.39,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Hogden Law,55.407675,-2.07423,453.67,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Horden,54.76379,-1.29924,42.66,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Hordon,54.791255,-1.311755,0.51,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Hownam,55.48852,-2.329,369.02,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Huish,51.37337,-1.78157,224.02,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Humbleton Hill,55.54903,-2.05217,268.6,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Ill Bell,54.494695,-2.944195,195.57,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Ingleborough,54.17053,-2.38332,603.05,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Jenkin,54.63073,-3.120965,588.75,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=JKH
Johnny Barnes,54.231355,-2.55285,326.92,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Kerloch,56.98236,-2.503035,505.15,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Kettle Sings,52.0769,-2.33928,327.8,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.joomla.malvern-hang.org.uk/index.php/pinnacle-meniu
Kilnsey,54.1057,-2.04653,281.39,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/kilnsey
Kimmeridge,50.61489,-2.104835,154.4,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
King Tor,50.619725,-3.823875,461.09,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://sdhgpc.org.uk/sites/king-tor
Kings Seat,56.481015,-3.24962,328.21,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Kintail,57.222515,-5.40846,124.96,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Knitson,50.62963,-1.99473,176.64,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Knock Hill,57.58362,-2.77698,410.01,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Knock Of Formal,56.67662,-3.2127,324.08,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Langdales,54.4554,-3.104655,534.53,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=GLG
Langholm,55.19375,-3.01533,303.84,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Latrigg,54.6126,-3.1208,341.83,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=LTR
Lawley,52.58052,-2.73953,276.3,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Leavesleys Hill,52.50114,-3.03457,362.96,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Leckhampton,51.86505,-2.06652,264.31,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.joomla.malvern-hang.org.uk/index.php/leckhampton
Liddington,51.51725,-1.70132,238.35,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/liddington
Little London,52.48875,-3.41212,341.99,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Little Mell Fell,54.606925,-2.890945,460.54,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Little Wyvis,57.64492,-4.63332,684.91,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Llanbedr,51.90815,-3.122905,417.98,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Llandewi Brefi,52.16727,-3.971565,287.92,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Llandinam,52.471895,-3.42457,398.38,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Llangollen,52.95615,-3.13631,371.81,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Llangorse,51.93855,-3.2232,457.85,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Llantysilio,52.99828,-3.26452,458.02,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Loadpot Hill,54.55643,-2.84407,651.12,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Lobden,53.661275,-2.15541,364.86,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Loch Torridon,57.56567,-5.595895,291.02,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Lochcraig Head,55.452,-3.3145,768.73,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,http://www.wingbeat-paragliding.co.uk/index.php/sites/lochcraig-head
Lochindorb,57.40333,-3.69412,413.17,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Lochlyock Hill,55.58799,-3.69897,463.16,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Long Knoll,51.13749,-2.2909,245.37,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Long Mountain,52.67568,-3.0631,352.3,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Long Mynd,52.52245,-2.88137,396.99,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,http://www.longmynd.org/?page_id=284
Long Mynd Black Knoll,52.494585,-2.8957,383.22,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Longridge,53.85948,-2.54372,281.3,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/longridge/
Longstone Edge,53.25455,-1.695635,347.8,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,
Lords Seat / Rushup,53.3476582,-1.8266357,495.27,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/lords-seat
Lowther,55.37818,-3.75755,673.48,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Lumsden Law,55.34366,-2.43517,468.4,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Magic,51.888485,-3.14114,597.53,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Maiden Castle,50.6968,-2.468465,104.04,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Mallerstang,54.420285,-2.30946,617.05,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Malvern,52.07678,-2.33935,329.72,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Mam Tor,53.34995,-1.80867,483.94,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/mam-tor-nw
Marske,54.595635,-1.011055,19.43,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Mauld,57.40223,-4.66152,260.12,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Meall A Bhuachaille,57.18303,-3.67267,762.13,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Meall A Bhuiridh,56.61175,-4.84418,1036.96,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Meall A Chaorainn,56.739475,-5.090165,622.8,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Meall An T-Seallaidh,56.36672,-4.34837,614.91,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Meall Bhanbhaid,56.863775,-5.091255,311.39,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Meall Donn,57.25252,-4.36915,459,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Meall Leacachain,57.75313,-4.9743,524.08,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Meall Monachyle,56.34988,-4.48517,565.09,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Meall Nan Bradan Leathan,57.70198,-4.51005,684.34,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Melmerby Low Scar,54.73657,-2.57178,496.36,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Mendips,51.26302,-2.73075,266.17,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Menstrie,56.15962,-3.84355,316.5,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Mercury,50.97413,-1.03855,223.41,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,http://skysurfingclub.co.uk/sites-guide/
Mere,51.10858,-2.272205,218.22,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Merthyr,51.72333,-3.33597,412.99,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Mid Eildon,55.58695,-2.70832,385.37,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Middle Of Nowhere,56.911,-4.318965,807.56,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Middleark,54.39815,-2.3607,528.39,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Milk Hill White Horse,51.37282,-1.85684,263.67,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/milk-hill-white-horse
Milk Massif,51.37321,-1.7441,272.92,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/milk-hill
Millington,53.95217,-0.72655,156.22,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,TRUE,Sensitive. Flagged exclude at request of Caley Club sites officer,https://cayleyparagliding.co.uk/paragliding-at-millington/
Model Ridge,54.42238,-1.1927,275.38,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Moel Accre,53.0672,-3.24137,354.82,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Moel Berfedd,53.08238,-4.0101,402.31,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,https://www.snowdoniaskysports.co.uk/cms/node/10
Moel Eilio,53.10893,-4.14007,347.49,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,https://www.snowdoniaskysports.co.uk/cms/node/5
Moel Famau,53.13865,-3.25977,431.67,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Molls Cleuch Dod,55.445425,-3.35529,591.74,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Moneylaws,55.60686,-2.205535,207.67,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Monksdown,50.98638,-2.087075,232.22,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,TRUE,Removed at Wessex request. New landowner does not permit flying.,http://www.wessexhgpg.org.uk/Sites/SiteGuide/MonksDown.pdf
Moorfoots,55.77353,-3.04622,422.35,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Morrone,56.98075,-3.42837,851.48,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Moruisg,57.51735,-5.16415,558.8,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Morven,57.12432,-2.99882,598.37,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Mount Benger,55.53187,-3.09345,447.27,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,http://www.wingbeat-paragliding.co.uk/index.php/sites/mountbenger
Mount Caburn,50.86133,0.050325,140.71,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://shgc.org.uk/siteguidepdf
Much Marcle,51.99117,-2.53972,169.67,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.joomla.malvern-hang.org.uk/index.php/main-much-marcle
Murton Pike,54.60163,-2.41442,539.55,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=MTP
Mynydd Llysiau,51.9469,-3.158625,631.89,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Mynydd Meio,51.586525,-3.280885,306.6,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Myreton,56.16015,-3.84343,338.63,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Na Cnapanan,56.96742,-4.5118,662.29,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Nant,52.96924,-4.459285,240.01,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Nant Y Moel,51.632525,-3.52589,495.82,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Near Abington,55.486375,-3.67649,353.23,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Nevis Range,56.84188,-4.97152,630.66,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Newburgh,56.35788,-3.19452,103.8,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Newgale,51.83807,-5.112865,51.66,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Newhaven,50.782,0.04792,50.15,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://shgc.org.uk/siteguidepdf
Nont Sarahs,53.61865,-1.97303,442.36,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/nont-sarahs/
Nr Broughton,55.61485,-3.39281,346.79,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Nr Dolgarrog,53.17441,-3.87424,507.02,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Old Bewick,55.48752,-1.87987,216.66,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Pandy,51.90795,-2.99456,393.39,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Pandy Ridge,51.93762,-3.00817,486.1,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Panorama,52.98267,-3.13775,364.37,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Park Fell,54.18967,-2.35993,541.22,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,"Training site, contact Active Edge before flying https://www.activeedge.co.uk/"
Parlick,53.89987,-2.61796,414.71,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/parlick/
Parracombe,51.17836,-3.87586,398.63,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Pen Dinas,52.39909,-4.089325,20.93,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Pen Y Fan,51.88303,-3.44538,722.17,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Pendle,53.857325,-2.33822,411.21,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/pendle/
Pendle East,53.871805,-2.29665,542.61,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Landowner does not permit flying. Use may jeopardise Pendle NW.,
Penmaen Bach,53.28425,-3.87592,186.97,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Penycloddiau,53.2048,-3.30875,392.74,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Penyghent,54.159015,-2.250465,633.56,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Pinnacle Hill,52.07676,-2.33912,324.22,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Pontlottyn,51.738675,-3.281915,411.4,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Pressendye,57.167715,-2.84776,584.66,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Primrose Valley,54.19188,-0.2823,33.84,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,https://cayleyparagliding.co.uk/paragliding-primrose-valley/
Quinag,58.19839,-5.023595,353.77,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Quiraing,57.6291,-6.28901,251.72,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Radar Masts,54.7572,-2.574685,464.22,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Rebecca,54.19645,-3.182425,156.31,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=RBA
Red Pike,54.52747,-3.29862,754.62,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Red Screes,54.46935,-2.93378,754.25,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Reighton,54.16498,-0.24596,53.98,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,https://cayleyparagliding.co.uk/paragliding-reighton/
Rhiw Wen,51.855975,-3.848115,474.63,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Ringstead,50.640175,-2.34191,132.22,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Roaches,53.169285,-2.003125,438.18,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,
Robinson,54.53732,-3.23605,694.78,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Roel Gate,51.91705,-1.924425,278.12,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Rough Knowe,55.52201,-2.99485,356.28,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Rutland Airsports,52.630445,-0.605775,105.11,East,https://t.me/joinchat/1oNELt0BqesxNjJk,,,https://rutlandairsport.wordpress.com/site-guide/
Rybury,51.37278,-1.88167,204.88,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/rybury
Saddle Yoke,55.38602,-3.34808,465.6,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Sandymouth,50.85997,-4.55508,50.48,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Sarn,52.50295,-3.14252,400.27,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Scales Fell,54.63858,-3.02565,581.87,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Schiehallion,56.666075,-4.07636,873.5,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Seat Sandal,54.49046,-3.03585,222.21,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Selsley,51.72742,-2.25043,195.11,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Semer Water,54.28856,-2.13954,454.17,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/semer-water
Seven Sisters,51.7471,-3.70062,427.16,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Sgor Gaoithe,57.27755,-3.53576,600.53,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Sgurr An Airgid,57.237705,-5.39644,11.56,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
